steam_id,appid,game_name,playtime_forever,playtime_2weeks,engagement_ratio,game_count,recent_active_games,avg_playtime,top_game_ratio,status,status_label
76561198128965756,578080,PUBG: BATTLEGROUNDS,221682,598,0.0027,122,1,3352.57,0.542,0,ativo
76561198129173973,730,Counter-Strike 2,233397,0,0.0,59,2,8939.12,0.4425,2,churn
76561198146909981,730,Counter-Strike 2,95239,375,0.0039,28,1,10385.39,0.3275,0,ativo
76561198152367278,730,Counter-Strike 2,84656,0,0.0,6,0,15864.17,0.8894,2,churn
76561198170704645,730,Counter-Strike 2,135036,0,0.0,27,0,5504.04,0.9087,2,churn
76561198203621825,730,Counter-Strike 2,235158,446,0.0019,69,2,4523.19,0.7535,0,ativo
76561198229974536,730,Counter-Strike 2,5884,0,0.0,9,0,761.33,0.8587,2,churn
76561198256449810,730,Counter-Strike 2,343741,1281,0.0037,72,2,5669.28,0.8421,0,ativo
76561198279400345,730,Counter-Strike 2,10222,0,0.0,87,0,920.59,0.1276,2,churn
76561198280650326,730,Counter-Strike 2,35793,0,0.0,5,0,9420.2,0.7599,2,churn
76561198288931171,730,Counter-Strike 2,34194,0,0.0,101,3,1855.19,0.1825,2,churn
76561198289768024,730,Counter-Strike 2,88681,0,0.0,77,0,3170.68,0.3632,2,churn
76561198295881820,730,Counter-Strike 2,13611,0,0.0,46,0,631.61,0.4685,2,churn
76561198297285712,730,Counter-Strike 2,71797,344,0.0048,37,1,4245.27,0.4571,0,ativo
76561198303950579,730,Counter-Strike 2,41453,0,0.0,17,0,2616.82,0.9318,2,churn
76561198308186250,730,Counter-Strike 2,181398,0,0.0,21,0,11577.76,0.7461,2,churn
76561198310991846,730,Counter-Strike 2,130810,0,0.0,89,0,2958.52,0.4968,2,churn
76561198311889567,730,Counter-Strike 2,97269,0,0.0,12,0,8552.83,0.9477,2,churn
76561198322401203,730,Counter-Strike 2,263591,560,0.0021,56,1,6411.66,0.7341,0,ativo
76561198332012076,570,Dota 2,329279,2831,0.0086,202,3,4104.38,0.3972,0,ativo
76561198338635026,570,Dota 2,273390,1696,0.0062,121,4,4609.73,0.4901,0,ativo
76561198348771612,730,Counter-Strike 2,55004,0,0.0,10,0,5876.6,0.936,2,churn
76561198350975289,730,Counter-Strike 2,57943,0,0.0,17,0,5274.53,0.6462,2,churn
76561198355306106,730,Counter-Strike 2,38984,0,0.0,2,0,19599.5,0.9945,2,churn
76561198356470462,730,Counter-Strike 2,130567,0,0.0,16,1,8836.88,0.9235,2,churn
76561198364933614,730,Counter-Strike 2,182824,560,0.0031,27,3,8898.67,0.7609,0,ativo
76561198371853487,730,Counter-Strike 2,53468,0,0.0,99,0,1979.7,0.2728,2,churn
76561198374146309,730,Counter-Strike 2,15934,0,0.0,3,0,5311.33,1.0,2,churn
76561198380790872,730,Counter-Strike 2,200249,0,0.0,11,0,21290.27,0.8551,2,churn
76561198385827257,730,Counter-Strike 2,43104,116,0.0027,33,2,1676.45,0.7791,1,possivel_churn
